Which ancient civilization built the Great Pyramid of Giza? | Mesopotamia | Egypt | Greece | Rome | 2
Who was the first woman to fly solo across the Atlantic Ocean? | Amelia Earhart | Bessie Coleman | Harriet Quimby | Jacqueline Cochran | 1
What year did World War I begin? | 1914 | 1915 | 1916 | 1917 | 1
Who was the first president of the United States? | Thomas Jefferson | George Washington | Abraham Lincoln | John Adams | 2
In which year did Christopher Columbus first reach the Americas? | 1492 | 1493 | 1494 | 1495 | 1
Which ancient civilization built the city of Machu Picchu? | Aztecs | Incas | Mayans | Egyptians | 2
Who was the leader of the Soviet Union during much of the Cold War? | Vladimir Putin | Joseph Stalin | Mikhail Gorbachev | Nikita Khrushchev | 2
What year did the Berlin Wall fall, effectively ending the Cold War? | 1985 | 1987 | 1989 | 1991 | 3
Which famous explorer circumnavigated the globe during the Age of Discovery? | Christopher Columbus | Ferdinand Magellan | Vasco da Gama | James Cook | 2
What was the name of the ship that carried the Pilgrims to America in 1620? | Mayflower | Santa Maria | Nina | Pinta | 1
Who was the first woman to win a Nobel Prize, awarded for her work in physics? | Marie Curie | Rosalind Franklin | Barbara McClintock | Dorothy Crowfoot Hodgkin | 1
Which ancient civilization is credited with the invention of democracy? | Egypt | Greece | Rome | Persia | 2
What year did World War II end? | 1943 | 1945 | 1947 | 1949 | 2
Who was the first emperor of unified China, known for building the Great Wall? | Confucius | Sun Tzu | Qin Shi Huang | Han Wudi | 3
What was the primary cause of the French Revolution? | Economic hardship | Religious conflict | Royal scandal | Food shortages | 1
In which year did the United States declare its independence from Great Britain? | 1774 | 1775 | 1776 | 1777 | 3
Which ancient civilization built the city of Petra, known for its rock-cut architecture? | Greeks | Egyptians | Persians | Nabateans | 4
Who was the first African American to serve as president of the United States? | Barack Obama | Martin Luther King Jr. | Malcolm X | Jesse Jackson | 1
What was the main focus of the Renaissance period? | Exploration and discovery | Religious reform | Art and learning | Military conquest | 3
Which ancient civilization is known for its contributions to mathematics, including the concept of zero? | Egyptians | Greeks | Romans | Indians | 4
