Which singer is known as the "Queen of Pop" and has hits like "Like a Virgin" and "Material Girl"? | Beyoncé | Madonna | Lady Gaga | Rihanna | 2
What is the name of the fictional wizarding school attended by Harry Potter and his friends? | Hogwarts School of Witchcraft and Wizardry | Durmstrang Institute | Beauxbatons Academy of Magic | Ilvermorny School of Witchcraft and Wizardry | 1
Which film franchise features characters like Luke Skywalker, Darth Vader, and Princess Leia? | Star Trek | Star Wars | Battlestar Galactica | Guardians of the Galaxy | 2
Who is known for her role as Hermione Granger in the Harry Potter film series? | Emma Watson | Emma Stone | Emma Roberts | Emma Thompson | 1
What is the name of the popular social media platform where users can share photos and videos? | Twitter | Facebook | Instagram | Snapchat | 3
Which streaming platform is known for original series like "Stranger Things" and "The Crown"? | Hulu | Amazon Prime Video | Disney+ | Netflix | 4
Which animated TV series follows the adventures of a boy named Finn and his magical dog Jake in the Land of Ooo? | Adventure Time | Steven Universe | Rick and Morty | SpongeBob SquarePants | 1
What is the name of the highest-grossing film of all time, directed by James Cameron? | Avengers: Endgame | Avatar | Titanic | Jurassic Park | 2
Which singer is known for hits like "Umbrella," "Diamonds," and "We Found Love"? | Beyoncé | Madonna | Lady Gaga | Rihanna | 4
What is the name of the popular fantasy TV series based on the novels by George R.R. Martin? | The Walking Dead | Stranger Things | Game of Thrones | The Witcher | 3
Which British actor portrayed the iconic character James Bond in films like "Skyfall" and "Casino Royale"? | Daniel Craig | Pierce Brosnan | Sean Connery | Roger Moore | 1
Which superhero is known as the "Man of Steel" and hails from the planet Krypton? | Batman | Superman | Spider-Man | Iron Man | 2
What is the name of the fictional continent where most of the events in "Game of Thrones" take place? | Essos | Westeros | Sothoryos | Ulthos | 2
Who wrote the best-selling fantasy book series "A Song of Ice and Fire," which inspired the TV series "Game of Thrones"? | J.K. Rowling | Stephenie Meyer | George R.R. Martin | Suzanne Collins | 3
What is the name of the annual music awards ceremony where artists receive a gramophone trophy? | MTV Video Music Awards | Grammy Awards | Billboard Music Awards | American Music Awards | 2
Which film franchise features characters like Captain Jack Sparrow, Davy Jones, and Elizabeth Swann? | Pirates of the Caribbean | Indiana Jones | Lord of the Rings | The Matrix | 1
What is the name of the popular video game series that features a plumber named Mario as the main character? | Sonic the Hedgehog | Pac-Man | Donkey Kong | Super Mario | 4
Who is known as the "King of Pop" and is famous for hits like "Thriller" and "Billie Jean"? | Elvis Presley | Michael Jackson | Prince | David Bowie | 2
Which TV series follows the lives of a group of friends living in New York City, focusing on their relationships, careers, and personal struggles? | Friends | How I Met Your Mother | The Big Bang Theory | Seinfeld | 1
